"OFFICE NAME (ORIGINAL)","OFFICE NAME (STANDARD)","COMMITTEE_ID","OFFICE PHONE","OFFICE LOCATION","OFFICE ROOM NUMBER"
"LAW REVISION COUNSEL","Office of the Law Revision Counsel",,"(202) 226-2411","Ford House Office Building","H2-308"
"LEGISLATIVE COUNSEL","Legislative Counsel",,"(202) 225-6060","Cannon House Office Building",136
"OFFICE OF CONGRESSIONAL ETHICS","Office of Congressional Ethics",,"(202) 225-9739","Longworth House Office Building",1017
"OEPPO","Office of Emergency Planning, Preparedness and Operations",,"(202) 226-0950","Ford House Office Building","H2-192"
"OFFICE OF THE CHAPLAIN","Office of the Chaplain",,"(202) 225-2509","Capitol","HB25"
"OFFICE OF GENERAL COUNSEL","Office of the General Counsel",,"(202) 225-9700","Cannon House Office Building",219
"OFFICE OF THE HISTORIAN","Office of the Historian",,"(202) 226-5525","Cannon House Office Building","B-56"
"OFFICE OF INSPECTOR GENERAL","Office of the Inspector General",,"(202) 226-1250","Ford House Office Building","H2-386"
"OFFICE OF THE MAJORITY LEADER","Office of the Majority Leader",,"(202) 225-4000","Capitol","H329"
"OFFICE OF THE MAJORITY WHIP","Office of the Majority Whip",,"(202) 226-0197","Capitol","H107"
"OFFICE OF THE MINORITY LEADER","Office of the Minority Leader",,"(202) 225-0100","Capitol","H204"
"OFFICE OF THE MINORITY WHIP","Office of the Minority Whip",,"(202) 225-3130","Capitol","H148"
"OFFICE OF THE PARLIAMENTARIAN","Office of the Parliamentarian",,"(202) 225-7373","Capitol","H209"
"OFFICE OF THE PARLIAMENTARIAN","Office of the Parliamentarian",,"(202) 225-7373","Capitol","H209"
"OFFICE OF THE SPEAKER","Office of the Speaker",,"(202) 225-0600","Capitol","H232"
"REPUBLICAN CONFERENCE","House Republican Conference",,"(202) 225-5107","Rayburn House Office Building","202A"
"REPUBLICAN POLICY COMMITTEE","House Republican Policy Committee",,"(202) 225-6168","Rayburn House Office Building",2471
"SERGEANT AT ARMS","Sergeant at Arms",,"(202) 225-2456","Capitol","H124"
"LEGISLATIVE FLOOR ACTIVITIES","Official Floor Reporters",,"(202) 225-5621","Capitol","HT59"
"RC-TRAINING & PROGRAM DEVEL.","House Republican Conference: Training and Program Development",,,"Capitol",
"DS-TRAINING & PROGRAM DEVEL.","House Democratic Steering and Policy Committee: Training and Program Development",,,,
"CLOAKROOM PERSONNEL - MAJ","Majority Cloakroom Personnel",,"(202) 225-7350","Ford House Office Building","H223"
"CLOAKROOM PERSONNEL - MIN","Minority Cloakroom Personnel",,"(202) 225-7330","Ford House Office Building","H222"
"COMPILATION OF PRECEDENTS","Office of the Clerk (Office of Compilation of Precedents)",,"(202) 225-7000","Capitol","H154"
"TECHNICAL ASSISTANTS","Information Technology Support (CAO)",,"(202) 225-6200","Ford House Office Building","H2-614"
"FORMER SPEAKER HASTERT","Office of the Former Speaker Dennis Hastert",,"(630) 553-3628","Yorkville, Illinois","759 John St"
"HOUSE INFORMATION RESOURCES","House Information Resources",,"(202) 225-6002","2nd and D St. SW Washington D.C.",20015
"19TH DISTRICT OF FLORIDA","Office of Congressman Ted Deutch",,"(202) 225-3001","Longworth House Office Building",1024
"OTHER ADMINISTRATION","Committee on House Administration",,"(202) 225-8281","Longworth House Office Building",1309
"GOVERNMENT CONTRIBUTIONS","Government Contributions (Lobbying Disclosures – Office of the Clerk)",,"(202) 225-7000","Capitol","H154"
"REPUBLICAN STEERING COMMITTEE","House Republican Policy Committee – Steering Committee",,"(202) 225-6168","Rayburn House Office Building",2471
"CHIEF ADMINISTRATIVE OFFICER","Office of the Chief Administrative Officer",,"(202) 225-6969 ","Capitol","HB30"
"CAO ADVANCED BUSINESS SOLUTION","Office of the Chief Administrative Officer – Advanced Business Solution",,"(202) 225-6969 ","Capitol","HB30"
"CAO OPERATIONS MANAGEMENT","Office of the Chief Administrative Officer – Operations Management",,"(202) 225-6969 ","Capitol","HB30"
"COMMUNICATIONS","Telecommunications (CAO)",,"(202) 225-6002","Ford House Office Building","H2-677"
"COMM ON VOTING IRREG-AUG2 2007","House Committee on Voting Irregularities – Aug. 2007",,,,
"MINORITY EMPLOYEES","Committee on House Administration Republican Office",,"(202) 225-8281","Longworth House Office Building",1309
"VETERANS’ AFFAIRS","House Committee on Veterans' Affairs ","HSVR","(202) 225-3527","Cannon House Office Building",335
"GENERAL ADMIN - SPEC & SELECT","General Administration – Spec and Select",,,,
"CHIEF ADMIN OFCR OF THE HOUSE","Chief Administrative Officer",,"(202) 225-6969 ","Capitol","HB29"
"OFFICE OF THE FORMER SPEAKER","Office of the Former Speaker Nancy Pelosi",,"(202) 225-4965","Cannon House Office Building",235
"COMM ON OVRSIGHT & GOVT REFORM","House Committee on Oversight and Government Reform","HSGO","(202) 225-5074","Rayburn House Office Building",2157
"SCIENCE AND TECHNOLOGY","House Committee on Science and Technology","HSSY","(202) 225-6375","Rayburn House Office Building",2321
"VETERANS' AFFAIRS","House Committee on Veterans' Affairs ","HSVR","(202) 225-3527","Cannon House Office Building",335
"ENERGY INDEPEN AND GLB WARMING","House Select Committee on Energy Independence and Global Warming","HSGW","(202) 225-4012","Longworth House Office Building","B243 "
"OEM","OEM",,,,
"COMM ON EDUCATION & WORKFORCE","House Committee on Education and the Workforce","HSED","(202) 225-4527","Rayburn House Office Building",2181
"COMM ON SCIENCE, SPACE & TECH","House Committee on Science, Space and Technology","HSSY","(202) 225-6371","Rayburn House Office Building",2321
"COMMITTEE ON ETHICS","House Committee on Ethics","HSSO","(202) 225-7103","Capitol",1015
